Player,Short Name,Team,Position Group,Competition,Speed,Acceleration,Agility,Endurance
Alessandro Marcandalli,A. Marcandalli,Genoa,Central Defender,ITA - Serie A,92.9,89.0,97.8,42.3
Touré Bazoumana,T. Bazoumana,TSG 1899 Hoffenheim,Wide Attacker,GER - Bundesliga,97.9,89.9,52.9,70.7
Jacobo Ramón Naveros,Jacobo Ramón,Como 1907,Central Defender,ITA - Serie A,87.5,56.7,44.6,37.5
Finley Munroe,F. Munroe,Swindon Town,Full Back,ENG - League Two,77.5,43.0,33.6,35.2
Marcus Ifill,M. Ifill,Bromley FC,Full Back,ENG - League Two,86.4,61.4,26.3,22.7
Harvey Araujo,H. Araujo,Colchester United FC,Central Defender,ENG - League Two,43.3,35.2,5.0,0.5
Jonathan Bland,J. Bland,Barnsley FC,Midfield,ENG - League One,48.9,37.3,24.0,57.0
Luca Stephenson,L. Stephenson,Dundee United,Full Back,SCO - Premiership,76.3,19.0,40.0,40.3
Bailey-Tye Cadamarteri,B. Cadamarteri,Sheffield Wednesday,Center Forward,ENG - Championship,81.4,84.0,56.5,45.7
Tom Iorpenda,T. Iorpenda,Notts County FC,Midfield,ENG - League Two,92.4,78.6,35.4,36.4
Tom Iorpenda,T. Iorpenda,Notts County FC,Midfield,ENG - League Two,75.4,54.5,29.4,37.9
Luca Woodhouse,L. Woodhouse,Exeter City FC,Central Defender,ENG - League One,40.6,51.3,42.9,77.8
Zachary Sapsford,Z. Sapsford,Dundee United,Center Forward,SCO - Premiership,20.0,21.0,64.1,71.2
Othmane Maamma,O. Maamma,Watford,Wide Attacker,ENG - Championship,53.7,37.0,62.9,59.8
Kyrell Jeremiah Wilson,K. Wilson,Falkirk,Wide Attacker,SCO - Premiership,90.7,97.0,78.2,96.9
Ade Adeyemo,A. Adeyemo,Crawley Town FC,Full Back,ENG - League Two,65.4,53.6,54.7,68.0
Vitor de Oliveira Nunes dos Reis,Vitor Reis,Girona FC,Central Defender,ESP - LaLiga,78.5,49.8,81.2,70.8
NoahKai Dominic Banks,N. Banks,FC Augsburg,Central Defender,GER - Bundesliga,63.0,23.3,61.6,84.9
Mamadou Doumbia,M. Doumbia,Watford,Center Forward,ENG - Championship,52.8,36.7,59.6,77.9
Sydie Peck,S. Peck,Sheffield United,Midfield,ENG - Championship,8.7,11.9,64.7,78.0
Micah Mbick,M. Mbick,Colchester United FC,Center Forward,ENG - League Two,46.3,60.0,39.8,40.8
Mikel Jauregizar Alboniga,Mikel Jauregizar,Athletic Club de Bilbao,Midfield,ESP - LaLiga,38.2,54.0,45.7,45.4
Jenson Metcalfe,J. Metcalfe,Bradford City AFC,Midfield,ENG - League One,62.5,59.7,93.3,43.3
Richard Kone,R. Kone,Queens Park Rangers,Center Forward,ENG - Championship,47.2,54.6,59.7,90.3
Cian Ashford,C. Ashford,Cardiff City,Wide Attacker,ENG - League One,70.4,56.6,63.5,51.8
Jack Moylan,J. Moylan,Lincoln City FC,Midfield,ENG - League One,81.9,66.7,77.7,57.4
Arthur Ebong Avom,A. Avom,FC Lorient,Midfield,FRA - Ligue 1,82.8,89.1,59.1,70.1
Jamie McDonnell,J. McDonnell,Mansfield Town FC,Midfield,ENG - League One,92.0,57.4,50.0,7.8
Esteban Lepaul,E. Lepaul,Stade Rennais FC,Center Forward,FRA - Ligue 1,35.3,47.3,82.6,87.4
Tiago Gabriel Coelho Oliveira,Tiago Gabriel,Lecce,Central Defender,ITA - Serie A,45.1,59.9,50.2,7.6
Jordan  Thomas,J. Thomas,Cheltenham Town,Wide Attacker,ENG - League Two,1.8,38.1,6.2,32.4
Abdoul Karim  Coulibaly,A. Coulibaly,SV Werder Bremen,Central Defender,GER - Bundesliga,53.2,64.0,87.5,91.1
Djaoui Cissé,D. Cissé,Stade Rennais FC,Midfield,FRA - Ligue 1,10.7,35.0,22.5,49.6
Harley Mills,H. Mills,Peterborough United,Full Back,ENG - League One,20.4,17.8,17.1,71.4
Krisztián Keresztes,K. Keresztes,Dundee United,Central Defender,SCO - Premiership,80.4,48.8,29.8,12.6
Jamie Ryan Jellis,J. Jellis,Walsall FC,Midfield,ENG - League Two,83.2,49.4,84.6,78.5
Adrián Liso Lahoz,Adrián Liso,Getafe CF,Center Forward,ESP - LaLiga,66.4,88.3,61.0,32.8
Richard King,R. King,St. Mirren,Central Defender,SCO - Premiership,95.6,74.4,40.8,53.8
Terry Yegbe,T. Yegbe,FC Metz,Central Defender,FRA - Ligue 1,85.5,87.4,49.9,38.3
Harry Amass Fiorentino,H. Amass,Sheffield Wednesday,Full Back,ENG - Championship,46.2,65.8,82.4,51.9
Ethan Joseph Wheatley,E. Wheatley,Northampton Town FC,Center Forward,ENG - League One,98.5,92.9,57.5,56.7
Kan Guy Arsène Kouassi,A. Kouassi,FC Lorient,Full Back,FRA - Ligue 1,47.6,89.2,73.2,56.3
Yanis Zouaoui,Y. Zouaoui,Le Havre AC,Full Back,FRA - Ligue 1,29.8,16.7,60.5,50.2
Abdulai Juma Bah,Juma Bah,OGC Nice,Central Defender,FRA - Ligue 1,68.0,40.5,45.4,48.1
Evan Weir,E. Weir,Walsall FC,Central Defender,ENG - League Two,63.8,67.2,49.6,22.4
Ethan Schilte-Brown,E. Schilte-Brown,Kilmarnock,Central Defender,SCO - Premiership,5.5,41.6,60.6,41.0
Rumarn Burrell,R. Burrell,Queens Park Rangers,Center Forward,ENG - Championship,95.2,95.0,76.5,61.5
Idris Odutayo,I. Odutayo,Bromley FC,Full Back,ENG - League Two,64.9,46.4,38.5,6.5
Idris Odutayo,I. Odutayo,Bromley FC,Central Defender,ENG - League Two,45.4,30.7,48.0,31.7
Corey Whitely,C. Whitely,Bromley FC,Wide Attacker,ENG - League Two,78.3,67.0,35.6,54.1
Michael Cheek,M. Cheek,Bromley FC,Center Forward,ENG - League Two,50.9,67.2,47.5,14.0
Kayden Hughes,K. Hughes,Fleetwood Town FC,Central Defender,ENG - League Two,35.1,68.2,25.0,21.5
Connor Barrett,C. Barrett,Walsall FC,Full Back,ENG - League Two,98.1,94.7,53.4,16.0
Cláudio Rafael Soares Braga,Cláudio Braga,Heart of Midlothian,Center Forward,SCO - Premiership,79.3,74.5,77.8,74.4
Charlie Mel  Barker,C. Barker,Crawley Town FC,Central Defender,ENG - League Two,39.2,84.5,61.8,81.2
Miguel Freckleton,M. Freckleton,St. Mirren,Central Defender,SCO - Premiership,93.7,86.8,91.5,97.7
Dayann Methalie,D. Methalie,Toulouse FC,Full Back,FRA - Ligue 1,95.1,93.1,92.4,88.5
Arkell Jude-boyd,A. Jude-boyd,Cheltenham Town,Full Back,ENG - League Two,27.4,52.9,19.5,45.5
Ashqar Ahmed,A. Ahmed,Reading,Full Back,ENG - League One,58.4,39.3,51.5,46.9
Jesús  Rodríguez Caraballo,Jesús Rodríguez,Como 1907,Wide Attacker,ITA - Serie A,70.8,83.4,44.7,34.3
Joe Quigley,J. Quigley,Oldham Athletic AFC,Center Forward,ENG - League Two,20.7,34.4,39.1,10.4
Ronan Kpakio,R. Kpakio,Cardiff City,Full Back,ENG - League One,29.3,53.0,43.7,57.1
Liam Mandeville,L. Mandeville,Chesterfield FC,Wide Attacker,ENG - League Two,2.2,16.8,48.5,85.6
Daniele James Collinge,D. Collinge,Barnet FC,Central Defender,ENG - League Two,76.8,87.2,34.1,69.3
Adebola Oluwo,A. Oluwo,Salford City FC,Central Defender,ENG - League Two,79.8,82.0,39.8,35.5
Callum Stead,C. Stead,Barnet FC,Midfield,ENG - League Two,80.2,65.7,49.0,76.6
Kyrell  Lisbie,K. Lisbie,Peterborough United,Wide Attacker,ENG - League One,88.1,89.7,49.2,31.4
Jack Evans,J. Evans,Harrogate Town FC,Midfield,ENG - League Two,98.1,94.6,88.2,36.4
Reece Smith,R. Smith,Harrogate Town FC,Midfield,ENG - League Two,93.3,97.5,81.8,88.6
Reece Smith,R. Smith,Harrogate Town FC,Wide Attacker,ENG - League Two,57.8,83.5,57.5,93.2
Shaun McCoulsky,S. McCoulsky,Harrogate Town FC,Center Forward,ENG - League Two,80.2,75.8,47.0,48.5
Karl Mike Fondop-Talom,M. Fondop-Talum,Oldham Athletic AFC,Center Forward,ENG - League Two,84.9,35.1,12.8,5.2
Reagan Ogle,R. Ogle,Oldham Athletic AFC,Full Back,ENG - League Two,60.4,71.5,21.7,37.8
Will Davies,W. Davies,Fleetwood Town FC,Center Forward,ENG - League Two,64.7,43.1,37.5,63.0
Honest Ahanor,H. Ahanor,Atalanta,Central Defender,ITA - Serie A,58.8,20.8,87.6,97.1
Tony Yogane,T. Yogane,Dundee FC,Wide Attacker,SCO - Premiership,11.4,54.1,35.4,38.4
Rico Browne,R. Browne,Walsall FC,Central Defender,ENG - League Two,85.8,48.0,28.8,28.8
Jan Virgili Tenas,Jan Virgili,RCD Mallorca,Wide Attacker,ESP - LaLiga,72.3,83.9,57.8,29.1
Michael Spellman,M. Spellman,Newport County AFC,Wide Attacker,ENG - League Two,57.5,41.8,45.6,77.6
Sonny Aljofree,S. Aljofree,Notts County FC,Central Defender,ENG - League Two,17.7,43.2,27.2,45.6
William Lankshear,Will Lankshear,Oxford United,Center Forward,ENG - Championship,56.1,62.9,72.7,36.0
Calvin Miller,C. Miller,Falkirk,Wide Attacker,SCO - Premiership,72.5,25.9,36.8,92.6
Liam Henderson,L. Henderson,Falkirk,Central Defender,SCO - Premiership,37.7,61.5,58.4,72.6
Leon McCann,L. McCann,Falkirk,Full Back,SCO - Premiership,45.5,54.5,45.6,82.0
Brad Spencer,B. Spencer,Falkirk,Midfield,SCO - Premiership,19.4,35.9,20.0,66.7
Brad Spencer,B. Spencer,Falkirk,Midfield,SCO - Premiership,36.7,59.8,22.9,66.4
Keelan   Adams,K. Adams,Falkirk,Full Back,SCO - Premiership,94.5,72.6,48.3,43.0
Harry Milne,H. Milne,Heart of Midlothian,Full Back,SCO - Premiership,32.8,16.0,27.9,61.8
Harry Milne,H. Milne,Heart of Midlothian,Wide Attacker,SCO - Premiership,11.2,37.8,27.1,58.2
Gabriel Otegbayo,G. Otegbayo,Sheffield Wednesday,Central Defender,ENG - Championship,13.1,64.0,19.5,53.2
Thomas Wilson-Brown,T. Wilson-Brown,Swindon Town,Central Defender,ENG - League Two,76.2,21.2,49.2,90.7
Ashley Hay,A. Hay,Dundee FC,Center Forward,SCO - Premiership,92.0,82.9,70.4,85.2
Lindokuhle Ndlovu,L. Ndlovu,Barnet FC,Center Forward,ENG - League Two,51.7,31.0,18.5,3.3
Joe Snowdon,J. Snowdon,Swindon Town,Full Back,ENG - League Two,8.8,40.7,58.7,87.6
Tylel Tati,T. Tati,FC Nantes,Central Defender,FRA - Ligue 1,53.3,61.4,80.8,79.8
Devon Matthews,D. Matthews,Accrington Stanley,Central Defender,ENG - League Two,75.1,68.7,43.3,51.5
Devon Matthews,D. Matthews,Accrington Stanley,Central Defender,ENG - League Two,58.1,68.6,61.8,59.0
Isaac Heath,I. Heath,Accrington Stanley,Full Back,ENG - League Two,92.3,90.7,97.4,95.7
Kyreece Joshua Lisbie,K. Lisbie,Colchester United FC,Wide Attacker,ENG - League Two,95.2,87.8,70.1,54.4
Jack Perkins,J. Perkins,Northampton Town FC,Full Back,ENG - League One,52.9,27.2,34.7,79.5
Yan Diomande,Y. Diomande,RB Leipzig,Wide Attacker,GER - Bundesliga,95.4,87.8,76.9,40.5
Isaac  Sinclair ,I. Sinclair,Accrington Stanley,Midfield,ENG - League Two,92.0,82.9,61.4,36.9
Reece Staunton,R. Staunton,Grimsby Town FC,Full Back,ENG - League Two,13.3,18.4,32.5,35.1
Harrison Burke,H. Burke,Walsall FC,Central Defender,ENG - League Two,80.1,76.1,35.9,42.5
